Repository,Source files,,Linter results,,,Pydocstyle results,,,Code coverage,,,Dead code,Common issues,Cyclomatic complexity,,,,,,,Maintainability index,,,,Overall status
,Files,Total lines,Pass,Fail,Pass %,Pass,Fail,Pass %,Statements,Missed,Coverage,,,A,B,C,D,E,F,OK?,A,B,C,OK?,
fabric8-analytics-common,153,18925,153,0,100%,153,0,100%,N/A,N/A,N/A,0,0,1243,75,0,0,0,0,yes,153,0,0,yes,failure(s) found
fabric8-analytics-server,23,4733,23,0,100%,23,0,100%,1735,954,45%,0,0,208,31,10,1,0,0,no,21,2,0,no,failure(s) found
fabric8-analytics-worker,170,15819,170,0,100%,169,0,100%,5377,1890,65%,0,0,830,84,8,1,0,0,no,170,0,0,yes,failure(s) found
fabric8-analytics-jobs,65,4635,65,0,100%,65,0,100%,1994,1526,23%,0,0,269,31,6,0,0,0,yes,65,0,0,yes,failure(s) found
fabric8-analytics-tagger,44,4178,44,0,100%,44,0,100%,887,38,96%,0,0,241,31,14,0,0,0,yes,44,0,0,yes,ok
fabric8-analytics-stack-analysis,91,5460,91,0,100%,91,0,100%,2118,1029,51%,0,0,256,17,3,0,0,0,yes,91,0,0,yes,failure(s) found
fabric8-analytics-license-analysis,28,3606,28,0,100%,28,0,100%,834,53,94%,0,0,195,26,13,1,0,0,no,28,0,0,yes,failure(s) found
fabric8-analytics-data-model,27,3650,27,0,100%,27,0,100%,904,53,94%,0,0,138,31,6,1,1,0,no,27,0,0,yes,failure(s) found
fabric8-analytics-recommender,17,1052,17,0,100%,17,0,100%,N/A,N/A,N/A,0,0,62,4,0,0,0,0,yes,17,0,0,yes,failure(s) found
fabric8-analytics-api-gateway,10,453,10,0,100%,10,0,100%,149,69,54%,0,0,27,1,0,0,0,0,yes,10,0,0,yes,failure(s) found
fabric8-analytics-nvd-toolkit,33,5080,33,0,100%,33,0,100%,1042,93,91%,0,0,218,24,2,0,0,0,yes,33,0,0,yes,ok
fabric8-analytics-auth,9,882,9,0,100%,9,0,100%,154,31,80%,0,0,59,3,1,0,0,0,yes,9,0,0,yes,failure(s) found
fabric8-gemini-server,23,2564,23,0,100%,23,0,100%,575,48,92%,0,0,140,13,3,0,0,0,yes,23,0,0,yes,ok
fabric8-analytics-version-comparator,9,1147,9,0,100%,9,0,100%,217,0,100%,0,0,50,13,2,0,0,0,yes,9,0,0,yes,ok
fabric8-analytics-ingestion,15,1003,15,0,100%,15,0,100%,228,107,53%,0,0,49,4,0,0,0,0,yes,15,0,0,yes,failure(s) found
fabric8-analytics-npm-insights,27,1811,27,0,100%,27,0,100%,579,477,18%,0,0,102,0,1,0,0,0,yes,27,0,0,yes,failure(s) found
fabric8-analytics-notification-scheduler,13,1802,13,0,100%,13,0,100%,554,190,66%,0,0,58,3,4,0,0,0,yes,13,0,0,yes,failure(s) found
fabric8-analytics-utils,10,1024,10,0,100%,10,0,100%,280,1,99%,0,0,50,12,1,0,0,0,yes,10,0,0,yes,ok
fabric8-analytics-github-refresh-cronjob,3,145,3,0,100%,3,0,100%,70,6,91%,0,0,9,0,0,0,0,0,yes,3,0,0,yes,ok
fabric8-analytics-github-events-monitor,15,1175,15,0,100%,15,0,100%,230,20,91%,0,0,58,7,0,0,0,0,yes,15,0,0,yes,ok
fabric8-analytics-release-monitor,10,819,10,0,100%,10,0,100%,127,20,84%,0,0,51,1,0,0,0,0,yes,10,0,0,yes,failure(s) found
f8a-server-backbone,12,2628,12,0,100%,12,0,100%,814,80,90%,0,0,81,16,5,0,0,0,yes,12,0,0,yes,ok
fabric8-analytics-rudra,42,3238,40,1,98%,24,17,59%,N/A,N/A,N/A,2,1,247,31,2,0,0,0,yes,42,0,0,yes,failure(s) found
f8a-hpf-insights,17,1006,17,0,100%,17,0,100%,162,16,90%,0,0,59,3,0,0,0,0,yes,17,0,0,yes,ok
f8a-golang-insights,15,903,15,0,100%,15,0,100%,222,108,51%,0,0,44,4,1,0,0,0,yes,15,0,0,yes,failure(s) found
f8a-pypi-insights,14,1048,14,0,100%,14,0,100%,150,72,52%,0,0,52,3,3,0,0,0,yes,14,0,0,yes,failure(s) found
f8a-stacks-report,13,1897,13,0,100%,13,0,100%,686,120,83%,0,0,88,8,2,0,0,0,yes,13,0,0,yes,failure(s) found
cvejob,39,3542,35,0,100%,35,0,100%,684,107,84%,0,0,157,31,7,0,0,0,yes,35,0,0,yes,failure(s) found
victimsdb-lib,8,772,8,0,100%,8,0,100%,204,0,100%,0,0,67,8,2,0,0,0,yes,8,0,0,yes,ok
fabric8-analytics-jenkins-plugin,10,1028,0,0,0%,0,0,0%,348,112,67%,0,0,0,0,0,0,0,0,yes,0,0,0,yes,failure(s) found
